fips   For 0-4 total (not just related kids) poverty ratios     For 5-17 total (not just related kids) poverty ratios                 For 18-64 poverty ratios                                    For 65+ poverty ratios
     cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98   SSI98   cpsse  cpsest     gvfse smpsize
42 17.6639 11.7286  8.4793  7.0862  3.2019 17.3724   2.75925 18.1788 15.2519  8.4793  7.0862  2.2380 16.9301   2.07514  9.2441 11.7286  8.4793  7.0862  0.8250  9.2441   .807059  7.8027  7.0258 43.9604  3.5143  1.3502  7.8027   1.23034    2086
44 15.7007 10.7373 10.6458  7.4799  5.4430 15.7007   5.11535 20.2174 14.0334 10.6458  7.4799  5.1297 19.4789   4.26330  8.9593 10.7373 10.6458  7.4799  1.6059  8.9593   1.49486  9.7191  5.0736 49.3767  4.8877  2.4182  9.7191   2.57678     530
45 18.8057 15.1197 12.3624  8.1536  5.2896 18.8057   5.59231 17.8173 21.2756 12.3624  8.1536  3.4110 16.5251   3.64760 11.6475 15.1197 12.3624  8.1536  1.7216 11.6475   1.63714 14.7375  5.0652 51.3244  7.2240  3.7394 14.7375   3.29261     543
46 18.2753 14.5568  7.3664  6.0726  5.4708 18.2753   4.99030  9.1261 17.7450  7.3664  6.0726  2.4882  9.1261   3.04015  9.9946 14.5568  7.3664  6.0726  1.7696  9.9946   1.73622 12.9079  9.5759 35.3986  3.3298  3.0172 12.9079   2.86759     638
47 28.4887 15.0347 10.0229  9.4757  5.0970 28.4887   5.69130 14.4375 20.4228 10.0229  9.4757  2.1935 14.1005   3.25807 11.7900 15.0347 10.0229  9.4757  1.7613 11.7900   1.53802 12.0561  5.9138 51.5248  7.1164  2.5649 12.0561   2.73210     656
48 25.6778 17.0372 14.0261  7.2541  2.3803 24.7018   2.63214 20.2678 24.3697 14.0261  7.2541  1.8103 19.5873   1.74195 12.0915 17.0372 14.0261  7.2541  0.7556 12.0915   .756545 13.4154  6.4246 48.1310  8.1750  1.4134 13.4154   1.46410    2777
49 18.2462 10.6365 10.6450  4.2244  4.7007 17.7831   5.07637 12.0820 12.3049 10.6450  4.2244  2.8920 11.7434   3.21467  6.8852 10.6365 10.6450  4.2244  1.1260  6.8852   1.32146  5.2170  5.4363 37.1718  1.9278  2.0468  5.2170   1.96528     601
50 17.4270 11.8121  8.2383  7.5988  6.1725 17.4270   5.57736 13.1430 14.1438  8.2383  7.5988  2.6906  9.1531   3.74650  8.3850 11.8121  8.2383  7.5988  1.3496  8.3850   1.48104  8.4055  8.3877 39.9336  4.5066  2.8588  8.4055   2.67310     484
51 11.5695 10.8486 11.5631  5.3862  4.4697 11.5695   3.75610  7.8442 15.0363 11.5631  5.3862  1.7136  7.2702   2.42638  8.2554 10.8486 11.5631  5.3862  1.1064  8.2554   1.19489 11.4265  4.6599 42.9979  5.2014  3.7775 11.4265   2.64817     749
53 10.8052 10.4665 12.1012  5.5661  3.5560 10.8052   3.80913 11.1978 14.0624 12.1012  5.5661  2.7949 10.6773   2.93515  8.2016 10.4665 12.1012  5.5661  0.9175  8.2016   1.30009  7.5639  4.9985 37.3416  3.3981  2.1809  7.5639   2.32389     683
54 31.3287 16.8563 14.3661 13.9493  7.3699 31.3287   5.85245 25.9515 23.3952 14.3661 13.9493  3.5704 25.4984   4.07602 15.3815 16.8563 14.3661 13.9493  1.3917 15.3815   1.65924 15.6890  5.2921 55.1261  5.1287  3.7187 15.6890   2.99142     682
55 19.3195  9.3786  7.0702  3.4846  6.4007 17.8181   4.95057 11.4681 11.9762  7.0702  3.4846  2.8548  9.9594   3.05044  7.4168  9.3786  7.0702  3.4846  1.1801  7.4168   1.20475  5.8833  7.2354 38.9066  2.5874  1.4111  5.8833   1.84213     707
56 20.0939 14.0309  6.8363  4.9839  4.8834 19.2028   5.12685 13.0644 16.6361  6.8363  4.9839  3.0904 10.7034   3.11729  9.0196 14.0309  6.8363  4.9839  0.9907  9.0196   1.34552  9.4631  8.5781 34.5245  3.0101  3.4536  9.4631   2.63419     640
